CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2017-09-01,688.0,13.0,104.0,155.0,83.0,57.0,59.0,64.0,75.0,116.0,150.0,109.0,86.0,141.0,206.0,303.0,213.0,106.0
2017-10-01,585.0,76.0,133.0,67.0,46.0,44.0,44.0,75.0,87.0,123.0,100.0,65.0,112.0,182.0,218.0,171.0,97.0,
2017-11-01,4116.0,891.0,482.0,308.0,364.0,372.0,472.0,695.0,888.0,726.0,516.0,817.0,1237.0,1591.0,1236.0,663.0,,
2017-12-01,5334.0,607.0,401.0,460.0,465.0,560.0,873.0,1206.0,940.0,643.0,1084.0,1627.0,2068.0,1569.0,862.0,,,
2018-01-01,2224.0,182.0,194.0,192.0,233.0,386.0,480.0,424.0,288.0,449.0,641.0,906.0,682.0,373.0,,,,
2018-02-01,1341.0,138.0,115.0,145.0,209.0,271.0,225.0,159.0,256.0,424.0,537.0,395.0,205.0,,,,,
2018-03-01,1375.0,107.0,123.0,243.0,296.0,262.0,183.0,284.0,393.0,549.0,415.0,215.0,,,,,,
2018-04-01,1272.0,144.0,187.0,274.0,225.0,163.0,237.0,400.0,491.0,352.0,204.0,,,,,,,
2018-05-01,1440.0,249.0,335.0,266.0,202.0,292.0,440.0,569.0,429.0,266.0,,,,,,,,
2018-06-01,1923.0,430.0,362.0,247.0,393.0,567.0,745.0,551.0,311.0,,,,,,,,,
2018-07-01,2135.0,415.0,266.0,428.0,648.0,825.0,685.0,326.0,,,,,,,,,,
2018-08-01,1447.0,162.0,288.0,452.0,543.0,433.0,222.0,,,,,,,,,,,
2018-09-01,741.0,149.0,223.0,302.0,220.0,129.0,,,,,,,,,,,,
2018-10-01,1113.0,318.0,442.0,352.0,194.0,,,,,,,,,,,,,
2018-11-01,1341.0,531.0,432.0,207.0,,,,,,,,,,,,,,
2018-12-01,1153.0,374.0,196.0,,,,,,,,,,,,,,,
2019-01-01,562.0,99.0,,,,,,,,,,,,,,,,
2019-02-01,222.0,,,,,,,,,,,,,,,,,
